model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
PPO,1,0,0.0,24.464466094067262,2,0.18421050906181335,0.6162645816802979,5.84999942779541,0.0,11606.398864746094,11606.398864746094,100.0,1,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-6.60551339413903,24.946447372436523,24.946447372436523,24.946447372436523
PPO,1,1,0.0,23.669872981077805,2,0.1,0.7912645936012268,10.499999523162842,0.0,9225.600189208984,20831.999053955078,100.0,0,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-4.71132828605175,24.818790435791016,24.818790435791016,24.818790435791016
PPO,1,2,0.0,23.17037086855466,2,0.1,0.9011885523796082,12.046958446502686,0.0,3069.16650390625,23901.165557861328,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.25627392530441284,1.0,1.0,-1.534583251953125,24.653947830200195,24.653947830200195,24.653947830200195
PPO,1,3,0.0,23.0,2,0.1,0.9931366443634033,12.874881505966187,0.0,1642.599349975586,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.05083518475294113,1.0,1.0,-0.821299674987793,24.48855209350586,24.48855209350586,24.48855209350586
PPO,1,4,0.0,23.17037086855466,2,0.1,1.0,12.874881505966187,0.25723743438720703,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.2592106759548187,1.0,1.0,-0.0,24.356733322143555,24.356733322143555,24.356733322143555
PPO,1,5,0.0,23.66987298107781,2,0.1,1.0,12.874881505966187,1.4824506044387817,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.5357751846313477,1.0,1.0,-0.0,24.288047790527344,24.288047790527344,24.288047790527344
PPO,1,6,0.0,24.464466094067262,2,0.1,1.0,12.874881505966187,3.804145932197571,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.8490557670593262,1.0,0.9066261053085327,-0.0,24.305688858032227,24.305688858032227,24.305688858032227
PPO,1,7,0.0,25.5,2,0.1,1.0,12.874881505966187,6.654145836830139,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6897141933441162,-0.0,24.425119400024414,24.425119400024414,24.425119400024414
PPO,1,8,0.0,26.705904774487397,0,0.1,1.0,12.874881505966187,9.504145741462708,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7178878784179688,0.08446771651506424,-0.0,24.6531982421875,24.6531982421875,24.6531982421875
PPO,1,9,0.0,28.0,0,0.1,1.0,12.874881505966187,12.354145646095276,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.37134698033332825,-0.18858322501182556,-0.0,24.987878799438477,24.987878799438477,24.987878799438477
PPO,1,10,0.0,29.294095225512603,0,0.1,1.0,12.874881505966187,15.204145550727844,0.0,25543.764907836914,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16336725652217865,-0.3543393909931183,-0.0,25.418500900268555,25.418500900268555,25.418500900268555
PPO,1,11,0.0,30.5,0,0.1,1.0,12.874881505966187,17.933555483818054,0.0,25543.764907836914,100.0,0,0,-1.0,-0.8794098496437073,-1.0,-1.0,-1.0,0.05131537839770317,-0.4431684613227844,-0.0,25.806060791015625,25.926651000976562,25.926651000976562
PPO,1,12,0.0,31.535533905932738,0,0.1,1.0,12.874881505966187,20.519492506980896,0.0,25543.764907836914,100.0,0,0,-1.0,-0.7359370589256287,-1.0,-1.0,-1.0,-0.002442645840346813,-0.49310436844825745,-0.0,26.114944458007812,26.487539291381836,26.487539291381836
PPO,1,13,0.0,32.33012701892219,0,0.1,1.0,12.874881505966187,23.071196913719177,0.0,25543.764907836914,79.31690216064453,0,0,-1.0,-0.7051934003829956,-1.0,-0.9930220246315002,-1.0,-0.01700275018811226,-0.521431028842926,-0.0,26.4416561126709,27.07179832458496,27.064821243286133
PPO,1,14,0.0,32.829629131445344,0,0.1,1.0,12.874881505966187,25.600638508796692,0.0,25543.764907836914,74.07243347167969,0,0,-1.0,-0.7311269044876099,-1.0,-0.896629273891449,-1.0,-0.003956126980483532,-0.5303154587745667,-0.0,26.811580657958984,27.647581100463867,27.537931442260742
PPO,1,15,0.0,33.0,0,0.1,1.0,12.874881505966187,28.142388224601746,0.0,25543.764907836914,58.43235397338867,0,0,-1.0,-0.7673521041870117,-1.0,-0.8487951159477234,-1.0,0.02514619752764702,-0.5176881551742554,-0.0,27.197772979736328,28.182823181152344,27.932933807373047
PPO,1,16,0.0,32.829629131445344,0,0.1,1.0,12.874881505966187,30.741478085517883,0.0,25543.764907836914,52.49967575073242,0,0,-1.0,-0.8291792273521423,-1.0,-0.839821457862854,-1.0,0.07302208244800568,-0.4850735664367676,-0.0,27.590137481689453,28.647502899169922,28.26242446899414
PPO,1,17,0.0,32.33012701892219,0,0.1,1.0,12.874881505966187,33.45593988895416,0.0,25543.764907836914,47.318336486816406,0,0,-1.0,-0.9259220957756042,-1.0,-0.8770796656608582,-1.0,0.14653533697128296,-0.4271255135536194,-0.0,27.99005889892578,29.015766143798828,28.546274185180664
PPO,1,18,0.0,31.535533905932738,2,0.1,1.0,12.874881505966187,36.30593979358673,0.0,25543.764907836914,44.05097198486328,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35735654830932617,-0.14584767818450928,-3.8079663515090942,28.344606399536133,29.267742156982422,28.845199584960938
PPO,1,19,0.0,30.5,2,0.1,1.0,12.874881505966187,39.1559396982193,0.0,25543.764907836914,42.19926452636719,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5688433647155762,0.010334588587284088,-4.434056520462036,28.56014633178711,29.390968322753906,29.010679244995117
PPO,1,20,0.0,29.294095225512606,2,0.1,1.0,12.874881505966187,42.00593960285187,0.0,25543.764907836914,41.83229064941406,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9279917478561401,0.2777305543422699,-4.668456554412842,28.633541107177734,29.38128089904785,29.039020538330078
PPO,1,21,0.0,28.0,2,0.1,1.0,12.874881505966187,44.855939507484436,0.0,25543.764907836914,42.473472595214844,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6347059011459351,-4.4654860496521,28.570186614990234,29.243152618408203,28.935117721557617
PPO,1,22,0.0,26.705904774487397,2,0.1,1.0,12.874881505966187,46.25889039039612,0.0,25543.764907836914,44.573089599609375,0,0,-1.0,-1.0,-1.0,-1.0,-0.5865573883056641,1.0,0.976007342338562,-10.889438390731812,28.383758544921875,28.98942756652832,28.712196350097656
