Scenario,Hour,PPO_Cost,PPO_Grid_kWh,PPO_Indoor_Temp,Hybrid_Cost,Hybrid_Grid_kWh,Hybrid_Indoor_Temp
Standard,0,10515.200378417969,5.300000190734863,23.946447,8134.399810791016,4.099999904632568,23.946447
Standard,1,10515.200378417969,5.300000190734863,22.918787,8134.399810791016,4.099999904632568,22.918787
Standard,2,10515.200378417969,5.300000190734863,21.943947,8134.399810791016,4.099999904632568,21.943947
Standard,3,10515.200378417969,5.300000190734863,21.049553,8134.399810791016,4.099999904632568,21.049553
Standard,4,10515.200378417969,5.300000190734863,20.261635,8134.399810791016,4.099999904632568,20.261635
Standard,5,10515.200378417969,5.300000190734863,19.602459,8134.399810791016,4.099999904632568,19.602459
Standard,6,10515.200378417969,5.300000190734863,19.08866,11705.600189208984,5.900000095367432,19.08866
Standard,7,8974.709421967767,4.523543055427301,18.729794,10165.109232758783,5.123542960059869,18.729794
Standard,8,7539.200378417969,3.8000001907348633,18.527405,8729.600189208984,4.400000095367432,18.527405
Standard,9,10519.247433572178,5.278679751807789,18.474665,7496.900627586656,3.778679751807789,18.474665
Standard,10,9843.943962228936,4.801923884014116,18.556608,6551.0169858839945,3.3019238840141156,18.556608
Standard,11,9229.556363825453,4.502222616500227,18.750948,5963.430013976671,3.0022226165002266,18.750948
Standard,12,9020.000195503235,4.400000095367432,19.029408,5945.000195503235,2.9000000953674316,19.029408
Standard,13,9229.556363825453,4.502222616500227,19.35948,6154.556363825453,3.0022226165002266,19.35948
Standard,14,9843.94396222895,4.801923884014116,19.706495,6768.943962228936,3.3019238840141156,19.706495
Standard,15,10821.293491205957,5.278679751807789,20.035847,7746.293491205972,3.778679751807789,20.035847
Standard,16,7790.00039100647,3.8000001907348633,20.315226,9020.00019550325,4.400000095367432,20.315226
Standard,17,9273.263263625966,4.5235430554273,20.516716,10503.263068122702,5.1235429600598685,20.516716
Standard,18,10865.00039100647,5.300000190734863,20.618597,8404.999804496765,4.099999904632568,20.618597
Standard,19,10865.00039100647,5.300000190734863,20.606737,8404.999804496765,4.099999904632568,20.606737
Standard,20,11925.204920902383,5.300000190734863,20.475473,8404.999804496765,4.099999904632568,20.475473
Standard,21,12614.000453948975,5.300000190734863,20.227926,8404.999804496765,4.099999904632568,20.227926
Standard,22,12614.000453948975,5.300000190734863,19.875725,8404.999804496765,4.099999904632568,19.875725
Standard,23,12614.000453948975,5.300000190734863,19.438152,8404.999804496765,4.099999904632568,19.438152
High_PV,0,10515.200378417969,5.300000190734863,23.946447,8134.399810791016,4.099999904632568,23.946447
High_PV,1,10515.200378417969,5.300000190734863,22.918787,8134.399810791016,4.099999904632568,22.918787
High_PV,2,10515.200378417969,5.300000190734863,21.943947,8134.399810791016,4.099999904632568,21.943947
High_PV,3,10515.200378417969,5.300000190734863,21.049553,8134.399810791016,4.099999904632568,21.049553
High_PV,4,10515.200378417969,5.300000190734863,20.261635,8134.399810791016,4.099999904632568,20.261635
High_PV,5,10515.200378417969,5.300000190734863,19.602459,8134.399810791016,4.099999904632568,19.602459
High_PV,6,10515.200378417969,5.300000190734863,19.08866,11705.600189208984,5.900000095367432,19.08866
High_PV,7,8204.463943742667,4.13531448777352,18.729794,9394.863754533682,4.735314392406089,18.729794
High_PV,8,10217.600189208984,5.150000095367432,18.527405,7241.600189208984,3.650000095367432,18.527405
High_PV,9,8408.370989664138,4.218019580027967,18.474665,10154.151035984469,5.118019675395399,18.474665
High_PV,10,7180.915845591779,3.5028857783374576,18.556608,8735.325573430498,4.402885873704889,18.556608
High_PV,11,6259.334447986577,3.053333877066624,18.750948,7999.145134452221,3.9533339724340557,18.750948
High_PV,12,5945.000195503235,2.9000000953674316,19.029408,7790.00039100647,3.8000001907348633,19.029408
High_PV,13,6259.334447986563,3.053333877066624,19.35948,8104.334643489798,3.9533339724340557,19.35948
High_PV,14,7180.915845591808,3.5028857783374576,19.706495,9025.916041095028,4.402885873704889,19.706495
High_PV,15,8646.940139057318,4.218019580027967,20.035847,10491.940334560568,5.118019675395399,20.035847
High_PV,16,10557.500195503235,5.150000095367432,20.315226,7482.500195503235,3.650000095367432,20.315226
High_PV,17,8477.394699935714,4.135314487773519,20.516716,9707.39450443248,4.735314392406087,20.516716
High_PV,18,10865.00039100647,5.300000190734863,20.618597,8404.999804496765,4.099999904632568,20.618597
High_PV,19,10865.00039100647,5.300000190734863,20.606737,8404.999804496765,4.099999904632568,20.606737
High_PV,20,10865.00039100647,5.300000190734863,20.475473,8404.999804496765,4.099999904632568,20.475473
High_PV,21,11300.30663510345,5.300000190734863,20.227926,8404.999804496765,4.099999904632568,20.227926
High_PV,22,12614.000453948975,5.300000190734863,19.875725,8404.999804496765,4.099999904632568,19.875725
High_PV,23,12614.000453948975,5.300000190734863,19.438152,9269.305167398677,4.099999904632568,19.438152
Low_PV,0,10515.200378417969,5.300000190734863,23.946447,8134.399810791016,4.099999904632568,23.946447
Low_PV,1,10515.200378417969,5.300000190734863,22.918787,8134.399810791016,4.099999904632568,22.918787
Low_PV,2,10515.200378417969,5.300000190734863,21.943947,8134.399810791016,4.099999904632568,21.943947
Low_PV,3,10515.200378417969,5.300000190734863,21.049553,8134.399810791016,4.099999904632568,21.049553
Low_PV,4,10515.200378417969,5.300000190734863,20.261635,8134.399810791016,4.099999904632568,20.261635
Low_PV,5,10515.200378417969,5.300000190734863,19.602459,8134.399810791016,4.099999904632568,19.602459
Low_PV,6,10515.200378417969,5.300000190734863,19.08866,11705.600189208984,5.900000095367432,19.08866
Low_PV,7,9744.954900192868,4.911771623081082,18.729794,10935.354710983884,5.51177152771365,18.729794
Low_PV,8,9027.200378417969,4.550000190734863,18.527405,10217.600189208984,5.150000095367432,18.527405
Low_PV,9,8463.724066689188,4.239340018955042,18.474665,9601.250408397813,4.839339923587611,18.474665
Low_PV,10,8201.972274369313,4.000962085058205,18.556608,9168.045409474958,4.600961989690774,18.556608
Low_PV,11,7894.778475167579,3.8511114513012608,18.750948,9124.778279664344,4.451111355933829,18.750948
Low_PV,12,7790.00039100647,3.8000001907348633,19.029408,9020.000195503235,4.400000095367432,19.029408
Low_PV,13,7894.778475167594,3.8511114513012608,19.35948,9124.778279664359,4.451111355933829,19.35948
Low_PV,14,8201.972274369327,4.000962085058205,19.706495,9431.972078866092,4.600961989690774,19.706495
Low_PV,15,8690.64703885786,4.239340018955042,20.035847,9920.646843354625,4.839339923587611,20.035847
Low_PV,16,9327.50039100647,4.550000190734863,20.315226,10557.500195503235,5.150000095367432,20.315226
Low_PV,17,10069.131827316189,4.911771623081082,20.516716,11299.131631812954,5.51177152771365,20.516716
Low_PV,18,10865.00039100647,5.300000190734863,20.618597,8404.999804496765,4.099999904632568,20.618597
Low_PV,19,10865.00039100647,5.300000190734863,20.606737,8404.999804496765,4.099999904632568,20.606737
Low_PV,20,10865.00039100647,5.300000190734863,20.475473,8404.999804496765,4.099999904632568,20.475473
Low_PV,21,12583.103489942645,5.300000190734863,20.227926,8539.101581640338,4.099999904632568,20.227926
Low_PV,22,12614.000453948975,5.300000190734863,19.875725,9757.999773025513,4.099999904632568,19.875725
Low_PV,23,12614.000453948975,5.300000190734863,19.438152,9757.999773025513,4.099999904632568,19.438152
